review,authorName,rating,movieId,id,authorId
"_Terrifier 2_ is a massive improvement over its parent film but doesn't quite do enough to move the needle for me. From the get-go, this films tone and quality is drastically superior to the previous entry. The writing gives characters room to develop, and audiences can actually grow attached to characters in way that was blatantly absent from the first film. I enjoyed the added lore for Art that was sprinkled throughout, adds a level of depth to the newly founded horror icon. The writing allows for much more creative kills and set pieces, with the story taking place across an entire town rather than one claustrophobic apartment building. But with all those improvements, there are still lingering problems that carried over from the first film. Actor performances were all over the board. Some actresses were really compelling and honestly shocked me for the indie type feel of the film. Some notable highlights for me were the lead actress _Lauren LaVera_, _Kailey Hyman_, and _Elliott Fullam_. But other performances were legitimately bad, it felt like I was watching a high school drama production. There are some major pacing problems, for starters this movie is almost 2.5 hours long. There is no need for a runtime this long, there is so much fluff in here that it really bogs down the flow of the film. This movie does a better job of adding suspense to its scenes but is too reliant on blood and gore to get its gasps from the audience. I normally am one to appreciate when a movie goes above and beyond in the gore department, but this movie went overboard. So many scenes had be physically ill due to the graphic content. Sometimes less is more and that is for sure the case here. Despite its flaws, this is a great next step for this small-time studio and with the success at the box office there will surely be a sequel where Dameon Leone has the opportunity to craft a real top notch horror film.**Score:** _63%_ |**Verdict:** _Decent_",Nathan,3,663712,634e9e33d100b6007f94eae6,539d4544-14d0-4ca9-894f-dff64d89ecf3
"FULL SPOILER-FREE REVIEW @ https://www.msbreviews.com/movie-reviews/black-adam-spoiler-free-reviewBlack Adam is far from impressive, being somewhat disappointing due to its formulaic, predictable screenplay when something different was anticipated.Lorne Balfe's epic score and a magnificent cast - Dwayne Johnson, Aldis Hodge, and most remarkably Pierce Brosnan are phenomenal - try to elevate the decent action and visuals, but the moderate entertainment levels don't make up for the dated narrative structure.Tiresomely heavy exposition, story with little to no creativity, and inconsistent humor make it impossible for the DCEU to take the next step in a truly impactful manner.Rating: C+",MSB,2,436270,63501e9ed363e5007a664110,bc879c97-2430-41ff-b8a5-c22c40562b95
Well it wasn't disappointing...,Faraz Khan,3,436270,63540bcb2441820082f30903,438b8740-13b1-4037-814c-a6cb8161692a
"With a horrid script, lackluster performances, and a waste of potentially awesome characters, _Black Adam_ is an explosive, $195 million, anti-heroic dud. The DCEU is about to get way more convoluted and underwhelming than ever before if this is the future of live action DC films.**Full review:** https://hubpages.com/entertainment/Black-Adam-20220-Review-A-Stale-and-Disjointed-Antihero-Kerfuffle",Chris Sawin,1,436270,6354b267c9dbf9008237a4b1,68ebe920-7efa-4aa8-b0e5-58d1b6e9268d
"**Black Adam might not reinvent the wheel, but it doesn’t have to. It just wants to take you on a fun, entertaining, exciting superhero ride!**Black Adam has its haters, and I can understand why. It doesn’t necessarily break new ground in the superhero genre, but that doesn’t stop it from being awesome! Action-packed from start to finish. The effects are incredible. I kept myself from saying Wow out loud on multiple occasions. Dwayne Johnson’s Black Adam is absolutely ruthless, ripping armies of henchmen with ease and speed. I was worried a PG-13 rating might soften his brutality, but it did not! The action sequences looked amazing and were well done. I really liked the Justice Society characters, although they all felt a little stereotypical with a SpiderMan jokester, a wise old Professor X, and a quipping leader in the vain of Wolverine or Deadshot. Pierce Brosnan was perfect at Dr. Fate, making me wish he hadn’t been relegated to special guest star status. The movie didn’t waste a ton of time giving background on each character which was wise with so many new heroes on screen. The film had its moments of cheese but didn’t overdo it. Definitely watch the mid-credit scene. It’s stupendous! Black Adam was a fine addition to the superhero genre, and I look forward to what comes next.",mooney240,4,436270,6354c7b5a843c1007d88ed93,b85a977e-cc8f-4bdd-ac4c-83e104754e7c
"> _My powers are not a gift. They're a curse, born out of rage._I had a blast watching this in theaters. This was very bombastic, with a lot of cool action, but also telling a heartfelt story about Black Adam.It was very inventive how they depicted Black Adam's origin, keeping it a mystery up near the end. Dwayne Johnson was born to play Black Adam. He steals every scene he's in playing a badass anto-hero.Now the Justice Society, while they didn't have a backstory in the film, they each had prequel comics detailing their backstory. Which I really dig, these comics are meant to sell comics, after all. Might as well get the audience to buy the comics to get into some great stories (they are also currently doing this with The Flash). The movie actually starts right where the Doctor Fate prequel comic ends, so I don't think it's apographa. Doctor Fate played by Pierce Brosnan was a standout. He really put his all into this character. Aldis Hodge was also a standout as Hawkman.The surprise villain of Black Adam, Sabbac, was a really good addition to the Shazam! mythos. If the wizards have their own champion, why doesn't the seven deadly sins have one? Sabbac is the answer to that. Doctor Fate's battle with him was really cool.Overall, this wasn't as bad as the critics were saying, I had a fun time! Be sure to stay for the mid-credits scene!",jwilliams0511971,4,436270,6355f462f8e98200817bfb30,e94a697f-c68f-4313-a902-da335734a02f
cool movie,shamxal,0,436270,63563a07a06efe007a657d0c,e19a39e3-2ba0-46e3-9554-eaba10948248
"In search of the all powerful crown of Sabbac, Adrianna (Sarah Shahi) unleashes Seth-Adam (Dwayne Johnson) from his mountain-encased tomb deep in the desert. With super-human powers akin to Superman, he returns to his home city of Kahndaq which is under the control of the Intergangs. Will he decide to help her and her son Amon (Bodhi Sabongui) free them from this criminal tyranny? Well what nobody had counted on are the folks from the Justice League/Brotherhood/Department - led by Hawkman (Aldis Hodge) and Dr. Fate (Pierce Brosnan) who have decided that Adam is a bit of an wrong-un and so bring their state-of-the-art rocket ship as well as the Atom Smasher (Noah Centineo) and Cyclone (Quintessa Swindell) to capture or destroy him. Thing is, Adam is the stuff of legend to these people - reputedly having defeated an ancient despotic king - but is/was he all that he seemed? Is he good or evil or both? Well, to be honest I didn't really care. This is a very well produced and technically superb creative effort, but the story is all over the place and the repetitive combat scenes just grate after a while. Johnson has charisma, we have seen it loads of times, but here he exudes none. Hodge looks great in his winged-suit but again, his character is as deep as an Ethiopian river in July. Centineo has some fun as the giant - more than a passing resemblance to Mark Ruffalo, don't you think? Otherwise the rest of this is about as derivative as it comes. Hopefully this is just a one-off, as this is nobody's finest work and is up there with Morbius as a superhero film too many!",CinemaSerf,3,436270,63578b5aefd3c200907b78fd,01ac09d8-00f1-4e28-ab11-56f390cd561b
"_Black Adam_ is in every aspect a generic superhero movie. There is nothing that really separates this for me, besides the body count that Black Adam stacks up during the film.One thing I need to mention is the audio quality. So many lines of dialogue sound like they were recorded straight off from a cell phone. They do not match the scene at all and it was incredibly jarring throughout the entirety of the film. While I am talking about sound, in almost every fight scene the film included a badass rap song. It was cool the first time, but it got old and corny fast.The plot was very generic from all aspects. It suffers by trying to catch the audience up in the first act. The film introduces the Justice Society and Black Adam and quickly accelerates the plot to start the main conflict of the film. It felt rushed and the conflict between the JSA and Black Adam was forced, nothing about it felt genuine. The villian in this movie was so forgettable, by the time he is introduced the conflict is over. I had zero emotional attachment to anyone in this movie. The dialogue was pretty bad as well, the scenes constantly switched from serious to comedy causing both aspects to fall flat for me.The performances were okay, everyone was pretty average including Dwayne Johnson. Nothing spectacular and nothing bad enough for me to notice.Overall, I was excited for this new phase and direction of the DCEU and was left disappointed. Definitely one of the poorer movies in the franchise.**Score:** _48%_ |**Verdict:** _Average_",Nathan,2,436270,635800e9d18fb9007ab4a9fe,29ce3e79-82b0-45f2-a6b0-3e573f96dce2
"Say what you will, the original Jeeper's Creepers films, especially the first one, were master classes in budget horror.Everything that came after, hasn't lived up to the original. Jeepers Creepers Reborn, is, for my money, just another off the shelf, rather mediocre, knock off. The story largely overlooks the factors that made the original film, so compellingly chilling. The slowly building tension, the gradual realisation that the pursuer is something worse than a garden house variety serial killer. In other words, the film creeps up on you. This film plays more like a run of the mill slasher flick, without the jump scares. The results not frightening or even a little chilling. I'd describe everything else as alright, from acting, sets through to horror effects.In summary, this one failed to resonate with me. I do not feel it came even close, to recapturing the essence of what made the original Creeper films disturbing cult icons of horror.",MovieGuys,2,717728,633ded7f21118f007dce7dc8,f515d532-0135-4f98-bb88-559fcb065f63
